CorpusId|Audio|BookStatsId|CText|Chapt|Verse|PText|ReadersId|UText
1||0|Nyo koruapu ma igbiki mi oki se ini duko ini piri oku mi now mjeme. Okibo mimgba ene mi la soni, Juapu ma miinipa se ani duko wasama ari oku-e. Jizos Be Bu Se Oria Obudukoapu Ma Dieme|1|15|||
2||0|Obuduko oyighoriapu finji ma Galili chingi mi now mume Jizos Be duko ini piri nyo mi|1|16|||
